Air Quality,CO,Humidity,NO2,PM10,PM2.5,Population_Density,Proximity_to_Industrial_Areas,SO2,Temperature
3,2.06,66.1,35.2,79.2,55.5,636,4.5,18.6,33.8
0,1.1,57.3,22.8,11.1,7.7,600,10.2,4.7,18.5
2,1.57,69.4,22.5,51.2,41.8,434,6.1,5.8,30.3
0,0.9,44.4,23.1,11.9,7.5,602,11.5,3.1,23.8
0,0.93,39.8,26.5,68.2,58.4,397,16.5,3.7,24.8
2,1.82,83.0,17.6,69.0,53.4,668,7.5,15.2,26.8
0,1.05,51.7,10.7,5.3,0.7,555,10.2,7.1,26.5
2,1.32,52.7,26.5,63.4,53.5,329,12.4,10.0,33.4
3,1.79,100.3,43.5,21.2,6.4,558,8.1,14.5,31.6
1,2.79,60.7,41.1,65.1,48.9,875,2.9,14.4,32.2
3,2.33,66.8,34.1,21.2,9.7,679,6.6,5.4,39.1
0,1.03,42.8,15.2,8.7,1.1,216,12.1,7.0,22.4
0,1.05,46.3,19.7,18.8,14.8,496,10.8,7.3,27.2
2,1.44,91.0,23.7,38.5,32.1,363,6.0,10.6,30.1
3,1.73,58.9,33.6,52.0,30.1,476,3.4,22.4,32.8
1,2.7,76.1,51.2,48.7,31.0,788,2.9,9.3,29.6
0,0.99,43.5,24.5,24.9,21.0,284,10.0,4.8,22.6
2,1.33,71.8,21.3,11.8,1.8,506,7.2,10.2,25.4
2,1.43,51.4,23.7,14.2,2.8,321,9.0,10.0,29.9
2,1.17,67.9,28.3,79.8,66.8,397,5.9,4.3,22.8
3,2.28,80.9,34.1,44.4,33.3,682,4.2,11.1,42.5
3,2.68,105.6,31.1,44.9,22.8,563,3.6,9.5,37.4
3,1.57,109.9,39.9,16.4,0.4,690,5.9,13.0,36.6
2,1.71,77.1,28.5,76.5,61.8,591,5.7,8.4,29.1
0,1.09,72.2,19.6,10.4,9.0,409,10.6,5.6,29.7
2,1.69,84.5,22.2,24.0,11.5,424,5.1,7.7,29.9
0,1.07,52.5,15.5,16.0,10.8,489,11.2,9.5,22.8
3,2.18,69.9,34.0,17.2,6.2,447,7.0,12.5,35.9
0,1.12,41.9,17.0,11.5,7.0,486,11.3,6.5,30.6
2,1.91,85.5,30.8,12.4,0.5,318,6.9,12.2,35.2
0,1.07,60.3,19.9,38.3,33.8,207,10.1,1.1,20.6
0,1.18,40.7,26.4,31.8,26.5,452,10.9,7.0,22.5
0,1.01,75.7,21.0,23.9,16.6,390,11.4,1.6,26.8
1,2.32,111.6,43.1,67.0,35.8,813,8.3,8.3,36.4
0,1.08,42.6,25.0,20.1,12.3,455,13.7,6.3,25.1
2,1.73,63.6,23.4,27.3,16.1,574,7.6,9.6,36.2
3,1.97,78.9,33.5,15.7,3.9,695,4.9,15.8,35.4
3,2.02,66.1,43.4,21.0,11.8,824,6.2,15.8,40.3
2,1.37,89.6,27.0,35.4,19.5,632,6.3,10.8,22.7
2,1.51,93.0,23.5,23.5,12.6,598,6.0,0.8,32.7
3,1.98,73.1,44.5,33.1,21.6,723,8.8,7.4,33.3
0,1.12,65.5,11.8,7.1,0.3,337,14.3,5.9,28.0
0,0.98,76.2,20.3,7.3,2.0,404,17.9,5.4,29.1
2,1.47,59.9,31.7,6.1,2.4,388,5.8,13.9,25.9
1,2.38,77.9,37.6,31.0,9.5,484,12.0,17.0,42.0
2,1.57,63.1,24.7,17.5,12.1,467,5.1,12.3,32.9
2,1.34,85.5,34.0,15.4,6.2,405,11.3,4.5,29.8
2,1.62,88.8,29.4,13.5,4.7,604,7.9,11.5,32.0
1,2.34,116.1,36.9,31.6,10.3,755,4.1,15.3,42.8
2,1.79,86.0,19.8,86.8,75.7,612,8.6,12.1,35.5
2,1.55,52.6,29.3,11.5,11.3,397,7.3,14.6,26.2
0,0.98,54.5,17.2,5.8,1.5,327,17.9,3.1,26.1
0,1.08,64.9,26.0,10.5,2.5,368,10.4,6.0,19.1
2,1.43,72.9,33.6,15.6,2.2,526,5.6,4.9,34.1
2,1.19,88.9,31.4,60.9,55.5,351,5.5,13.1,23.2
3,2.24,79.3,37.6,40.2,14.0,608,3.6,10.6,27.6
0,1.06,42.7,23.8,8.6,3.8,390,10.4,1.7,19.5
2,1.59,54.0,23.0,22.8,16.4,492,9.4,3.9,31.2
2,1.58,53.9,29.9,10.8,2.5,395,5.3,12.7,31.5
3,2.58,69.2,38.3,50.7,41.8,651,5.9,22.2,47.7
2,1.33,81.8,26.5,8.9,1.1,317,5.2,20.1,27.7
2,1.4,52.4,27.0,18.1,4.1,356,8.8,14.7,24.6
3,2.03,107.9,25.7,32.0,16.4,686,3.6,14.7,36.4
0,0.88,54.1,16.3,15.0,8.2,531,14.8,4.6,31.2
1,2.47,94.4,50.3,27.3,19.5,889,3.7,6.2,37.6
0,0.91,76.3,10.3,14.1,10.4,328,10.3,5.4,27.4
2,1.51,79.2,25.8,82.1,66.5,575,5.3,16.7,29.0
0,0.88,41.4,26.6,11.8,6.8,383,12.4,6.4,26.5
0,0.91,63.5,16.1,27.0,24.7,407,15.9,2.0,25.0
2,1.54,79.2,22.3,58.8,51.0,344,5.2,12.0,26.5
2,1.72,75.2,33.5,10.5,4.7,336,6.5,0.4,36.0
0,1.01,76.1,25.8,5.8,1.2,306,10.2,4.5,23.6
2,1.27,48.8,31.8,23.8,19.7,538,5.3,5.3,26.7
3,1.34,105.9,38.4,15.7,0.4,421,6.5,11.9,31.6
0,0.84,43.3,19.8,5.1,1.3,451,10.6,8.0,21.8
2,1.64,56.0,30.5,41.9,24.3,375,12.5,5.3,29.4
2,1.44,86.1,37.4,28.9,17.8,414,6.4,10.2,34.6
0,1.01,62.3,19.7,18.8,13.3,495,11.4,5.2,30.5
1,2.02,58.9,49.8,29.4,12.1,678,3.1,16.7,33.5
0,0.94,59.3,26.4,15.7,8.9,576,10.4,6.6,24.4
0,1.04,54.6,14.1,25.1,20.7,429,16.1,4.0,22.6
2,1.59,87.4,29.2,32.3,23.6,582,6.2,3.1,25.6
3,1.93,71.2,27.0,41.7,21.1,528,3.4,17.7,24.6
3,1.39,83.4,36.8,49.7,40.3,766,3.5,15.8,42.2
2,1.27,82.7,28.6,19.7,11.7,430,5.2,14.5,28.3
0,0.93,66.2,20.8,8.6,2.9,467,13.1,5.6,24.4
0,0.89,63.0,16.5,24.1,21.7,191,17.1,4.3,20.3
0,1.08,48.3,15.5,5.8,2.4,296,10.5,6.3,21.3
0,1.03,44.5,25.0,16.6,8.7,208,10.3,0.9,28.4
0,1.0,43.1,15.7,9.0,5.1,377,10.7,3.2,22.2
3,1.92,73.8,31.0,46.6,33.8,681,4.6,22.8,31.3
0,1.01,74.5,21.1,18.3,12.7,365,13.1,1.1,26.3
2,1.4,60.3,22.8,68.7,56.3,426,7.4,10.5,30.9
2,1.47,75.4,16.8,14.4,6.0,539,5.7,12.8,27.8
2,1.26,80.6,25.8,17.6,11.0,670,6.7,3.1,32.3
0,1.0,66.5,20.2,5.4,1.7,399,10.2,5.8,26.0
0,1.02,60.1,17.2,7.2,0.4,384,10.1,6.1,23.5
2,1.35,67.7,22.5,52.4,43.0,415,6.0,7.2,25.7
0,0.77,45.3,12.9,25.7,20.8,346,13.4,3.6,24.0
2,1.56,80.1,24.4,7.6,5.6,679,10.4,16.6,31.8
3,2.44,90.6,22.4,57.2,42.9,497,7.5,13.0,33.2
0,0.92,73.5,15.7,22.1,17.1,572,12.0,8.3,27.4
3,2.24,82.5,45.4,13.0,3.8,703,3.7,3.9,35.1
3,1.84,61.0,25.8,39.2,27.7,448,4.8,10.2,33.1
0,0.95,50.0,18.8,23.4,19.2,225,12.2,6.0,22.9
2,1.99,94.3,24.0,72.8,68.9,347,6.7,14.3,31.4
0,1.03,65.3,22.3,33.5,26.1,499,12.6,1.4,23.9
1,2.21,72.2,36.2,67.7,48.8,860,3.0,28.6,38.6
3,1.91,79.2,50.3,82.7,70.1,617,5.2,20.6,49.8
0,1.08,60.1,19.3,8.0,1.5,340,13.3,6.3,23.1
2,1.36,53.5,29.5,28.4,20.0,313,8.5,5.3,26.9
0,1.02,77.3,12.1,24.7,23.1,577,10.7,7.6,28.7
0,0.99,71.4,19.5,10.3,4.3,212,11.1,7.9,31.0
3,2.21,73.6,21.4,39.5,18.6,590,4.4,12.2,32.8
0,1.08,57.3,23.6,9.6,5.8,595,11.0,4.3,22.4
0,0.94,52.7,22.2,13.9,7.4,577,11.4,5.4,27.2
0,0.95,64.1,26.8,11.3,3.0,550,11.1,3.7,26.6
0,0.99,52.6,26.3,15.3,7.6,517,11.1,4.4,22.9
0,0.78,71.1,19.0,34.5,26.1,512,11.3,3.2,30.7
0,1.03,40.4,20.5,13.5,3.6,475,11.9,5.4,20.2
0,0.86,80.8,13.9,16.3,10.2,328,12.0,3.2,26.2
0,1.13,73.2,12.3,35.4,28.7,371,10.1,6.0,25.4
2,1.64,59.9,25.4,41.0,33.0,406,7.0,10.8,33.4
0,0.9,41.7,18.9,18.9,13.2,550,12.3,6.3,26.7
3,2.09,71.4,37.9,52.6,29.5,744,3.9,17.1,34.5
2,1.33,70.4,22.2,44.7,35.8,398,5.5,9.7,40.5
3,2.0,79.9,47.6,50.9,31.7,447,6.8,5.2,27.1
3,2.22,85.4,26.3,11.9,4.9,421,5.2,19.4,26.7
1,2.25,111.2,45.6,46.9,25.7,692,4.5,25.2,39.2
1,2.41,96.6,40.5,79.6,59.5,863,4.9,24.4,38.1
2,1.95,78.9,34.9,18.5,6.3,555,5.0,11.6,26.5
0,0.89,40.3,19.5,8.9,2.3,255,11.1,5.7,23.2
0,1.04,48.8,17.1,27.3,19.2,267,11.1,4.3,33.6
0,1.1,67.8,12.9,28.9,24.8,559,14.7,3.9,27.0
1,2.38,90.1,46.3,50.7,26.6,531,5.1,18.2,41.9
2,1.49,78.6,26.5,30.1,25.1,323,7.3,7.2,29.9
3,2.15,76.0,31.8,32.9,16.0,548,4.8,10.6,26.4
2,2.0,71.9,30.8,60.0,48.0,388,5.0,6.8,32.6
0,0.95,52.9,19.9,7.3,0.0,229,11.0,6.9,16.7
0,0.97,59.9,15.1,5.5,4.1,365,11.8,7.1,21.5
2,1.67,54.2,30.9,38.5,24.6,359,7.0,14.1,29.9
0,1.05,47.9,16.1,18.8,14.4,386,12.4,2.4,30.6
3,2.24,77.7,37.1,36.1,35.4,571,6.6,17.9,29.2
0,0.84,42.7,19.1,7.8,1.7,228,13.4,4.5,29.4
2,1.41,66.3,19.3,25.8,13.6,460,8.4,12.9,33.3
2,1.44,53.4,26.2,22.0,5.4,449,6.7,18.6,28.9
0,1.13,67.4,19.2,15.2,11.0,481,10.3,8.3,28.7
2,1.57,65.3,19.2,36.8,25.6,576,5.5,6.0,35.3
2,1.55,48.1,32.5,14.6,1.3,449,7.0,0.9,27.9
0,1.07,74.7,10.5,12.1,5.1,454,11.0,6.4,24.1
2,1.39,78.9,26.1,30.8,17.5,608,6.3,7.9,30.4
0,0.99,67.2,25.1,17.1,7.9,547,11.9,6.7,26.8
2,1.93,83.1,35.8,29.1,19.9,674,7.4,12.3,28.6
0,1.01,62.6,10.0,16.7,11.7,413,15.8,6.6,25.8
0,1.13,49.8,20.5,1.5,0.3,485,11.4,8.5,28.9
3,2.42,104.0,22.9,80.9,52.5,680,4.4,13.0,42.9
3,1.91,101.0,30.3,10.2,2.6,408,3.5,24.3,44.2
3,2.18,93.8,37.5,19.4,6.3,669,3.9,13.6,21.0
2,1.23,84.7,17.9,42.0,35.5,509,5.6,11.1,31.3
0,1.08,48.9,20.2,8.8,0.5,496,11.9,4.5,23.0
0,1.03,46.2,26.8,4.4,0.8,300,11.9,3.6,29.6
3,2.11,73.4,31.4,29.9,11.3,380,3.9,25.3,40.3
3,2.27,85.9,39.6,21.2,3.4,689,3.5,8.4,41.2
0,1.02,41.5,18.7,4.8,0.9,337,12.6,3.4,29.1
2,1.59,53.8,25.3,21.8,6.9,295,6.4,7.7,26.7
2,1.58,69.0,28.9,26.3,18.0,674,5.4,9.8,29.7
3,1.82,69.8,27.6,21.1,5.9,694,3.6,18.9,29.5
3,1.72,77.8,31.8,18.1,12.3,590,3.8,8.9,31.6
0,1.11,67.3,20.5,11.7,5.1,379,11.2,3.6,29.5
3,2.69,66.7,29.6,34.7,22.8,441,9.1,17.6,32.2
2,1.17,63.9,16.2,25.3,13.5,478,6.3,10.9,28.7
0,1.09,51.1,27.8,3.6,0.7,281,10.9,9.6,26.4
3,2.18,100.4,32.7,34.2,19.8,745,3.9,15.8,37.0
2,1.38,84.1,20.1,13.3,4.3,401,6.7,12.6,32.2
0,1.09,50.1,12.1,13.7,7.0,589,13.6,8.4,22.9
3,1.78,73.7,37.5,24.1,1.1,533,5.4,23.6,31.5
3,2.14,82.0,25.3,57.9,40.5,614,7.7,13.6,35.7
3,2.59,70.0,25.4,10.2,3.5,735,3.9,19.3,32.2
2,1.57,57.6,35.1,33.5,19.4,424,5.1,10.0,35.6
0,0.87,54.7,24.1,12.3,4.0,433,10.2,2.8,23.4
0,0.9,80.3,12.2,14.0,9.2,277,11.1,4.8,24.8
3,1.87,75.0,32.6,47.1,37.8,451,5.6,11.0,31.3
0,1.1,42.8,14.6,15.0,12.5,284,10.9,3.3,27.2
0,1.05,64.2,19.7,6.6,1.9,369,13.8,6.2,26.2
3,1.74,71.4,36.1,59.1,35.9,619,3.6,15.0,33.8
2,1.28,80.3,31.5,29.2,8.6,326,9.5,7.4,34.6
3,2.18,71.6,30.7,37.5,21.7,754,4.1,16.4,34.6
2,1.57,78.0,33.8,21.9,5.0,468,5.6,16.5,27.4
0,0.85,42.1,20.1,11.7,5.4,276,13.1,4.5,26.8
3,2.02,72.0,24.8,16.3,4.1,662,5.9,6.6,33.2
0,1.0,64.1,24.4,18.9,13.4,487,12.2,2.0,16.0
2,1.83,73.7,32.5,10.2,5.5,653,6.9,2.3,30.9
3,1.71,80.2,30.4,24.4,11.9,617,4.5,14.1,35.0
2,1.73,86.3,16.8,52.8,39.3,571,5.9,9.9,31.2
2,1.32,74.2,19.7,46.1,40.6,459,6.1,9.9,25.4
3,2.22,83.8,28.0,31.0,19.5,443,7.3,14.3,38.5
3,2.21,89.0,37.3,30.9,7.3,660,4.4,6.8,30.9
3,1.93,67.6,36.9,64.5,51.4,467,4.2,9.4,45.5
2,1.56,86.5,22.3,21.4,3.1,601,7.3,15.0,23.2
3,2.32,77.5,43.7,25.6,5.2,610,4.2,15.4,38.9
3,1.48,63.6,33.0,54.9,33.1,655,4.7,19.6,32.8
2,1.3,84.4,27.8,50.3,34.2,416,5.1,16.1,30.8
2,1.63,66.0,27.7,3.7,2.2,395,6.6,11.7,26.6
0,0.78,45.3,27.4,12.4,5.3,546,18.9,7.2,26.0
2,1.22,47.0,26.3,23.0,16.4,655,9.8,4.9,33.0
0,1.04,75.2,18.6,8.0,3.5,593,13.0,2.0,17.7
3,2.13,55.4,31.5,68.7,50.2,529,4.4,6.0,31.5
1,2.47,94.4,51.0,49.3,19.9,601,4.1,22.5,40.0
2,1.2,73.8,32.4,19.1,6.5,419,5.5,12.6,25.3
0,1.09,63.2,13.9,8.0,6.2,410,10.3,5.0,18.9
2,1.11,73.5,24.8,14.8,3.8,577,7.0,11.1,28.2
1,2.09,102.4,40.4,58.4,38.8,811,2.7,12.8,34.3
2,1.64,56.7,26.9,18.0,6.7,371,6.1,6.1,27.8
0,0.89,52.8,15.6,31.8,27.3,318,11.9,1.9,26.7
3,1.98,110.1,41.7,12.5,0.1,709,6.2,15.8,38.2
0,1.06,79.0,25.5,24.0,16.6,359,10.3,5.2,27.8
0,1.18,41.0,12.8,20.3,14.8,217,15.0,4.9,22.1
0,0.91,57.4,20.6,22.8,15.9,336,10.4,7.5,22.9
0,0.92,45.1,26.3,15.3,13.9,262,11.4,1.4,21.9
2,1.37,68.4,26.5,25.8,14.6,321,5.4,3.0,22.7
0,1.15,69.0,18.7,12.2,9.2,245,12.8,4.0,22.4
0,1.07,61.7,19.5,8.6,5.3,381,15.4,9.1,26.1
0,0.93,62.9,17.4,17.3,8.9,494,13.6,4.5,23.9
2,1.51,62.7,29.4,17.9,13.5,510,6.2,7.9,24.6
0,1.03,80.0,24.1,11.4,3.5,373,13.7,8.9,25.4
0,1.1,63.8,24.9,4.3,2.2,459,13.4,4.7,25.5
0,1.09,42.1,13.5,5.3,1.5,527,10.8,3.8,27.8
2,1.86,61.2,22.7,10.9,1.2,501,8.6,7.1,28.2
0,1.0,51.1,17.1,8.0,1.2,576,11.6,4.7,30.4
1,2.23,88.5,48.5,57.3,37.8,769,3.4,21.2,32.4
0,0.98,43.4,15.8,9.5,5.4,441,11.0,1.7,24.0
0,0.87,62.7,17.4,7.5,0.1,528,12.0,4.7,28.2
2,1.49,62.3,20.4,8.7,0.9,599,8.6,15.0,31.2
2,1.69,57.3,31.2,20.3,6.3,316,8.2,5.8,33.2
1,2.03,78.1,44.6,52.3,37.0,799,2.5,16.0,43.4
3,1.74,89.8,26.0,47.9,33.0,490,4.3,-0.1,36.0
2,1.38,57.8,28.3,33.0,17.2,642,5.2,9.2,33.1
3,1.47,94.5,26.3,48.8,25.5,457,9.3,9.9,34.4
0,1.06,39.7,20.4,27.8,23.4,314,10.5,9.6,23.1
0,1.04,52.4,18.7,4.5,0.3,313,10.7,6.3,23.7
1,2.03,80.0,38.0,44.5,37.1,538,3.5,14.8,35.8
2,1.34,89.4,21.8,17.4,3.6,325,5.4,15.8,32.0
0,1.05,79.3,22.5,10.6,9.2,544,12.3,5.5,23.8
0,1.2,73.6,13.9,3.1,0.9,488,10.2,4.4,27.0
2,1.75,70.3,27.4,31.9,27.3,635,9.3,11.1,35.3
0,1.09,68.3,13.0,19.0,12.6,310,11.2,6.6,25.8
2,1.32,66.1,26.8,15.4,11.3,497,5.5,14.1,22.3
3,1.63,44.6,28.8,5.8,2.4,502,8.7,18.1,36.7
2,1.44,81.3,31.7,15.1,12.3,447,5.5,11.9,31.4
0,0.87,56.1,19.0,33.8,27.4,492,16.6,5.4,22.5
0,1.02,71.5,21.6,28.6,20.2,306,13.7,4.4,31.3
2,1.59,70.2,28.6,53.9,47.1,604,7.7,11.5,28.3
2,1.24,69.0,19.4,33.7,19.1,589,9.7,11.0,28.7
0,1.07,43.2,16.4,10.0,5.4,571,14.5,2.2,18.0
2,1.44,51.3,32.6,12.7,6.0,386,5.1,6.4,27.6
0,0.79,49.0,15.1,12.6,8.9,337,11.8,0.3,26.6
0,0.86,55.1,17.3,23.6,20.5,347,11.9,2.6,28.7
2,1.54,58.1,29.6,13.5,1.8,524,8.5,6.5,30.3
2,1.94,88.6,28.9,57.9,47.9,412,5.4,12.3,20.6
0,0.92,62.3,18.3,13.9,6.9,196,11.4,4.1,23.5
0,0.87,56.1,23.2,4.6,1.6,322,10.2,4.4,26.6
3,2.12,93.3,29.8,54.0,46.6,624,4.7,19.6,36.6
0,1.14,73.0,9.3,30.5,26.4,350,11.2,4.1,29.2
2,1.39,70.7,29.2,28.7,20.2,689,6.4,9.7,31.9
0,0.87,50.9,14.0,9.2,6.1,287,11.0,8.3,23.1
0,0.96,62.3,20.6,11.1,7.4,295,13.1,3.0,20.9
1,2.03,108.4,32.2,39.3,30.3,572,3.0,21.5,39.8
2,1.6,92.3,22.4,30.6,14.2,574,5.6,14.4,30.6
3,1.89,67.4,21.3,71.0,57.9,824,4.1,12.3,37.9
0,1.05,77.8,20.8,10.4,4.8,294,15.3,6.4,26.7
3,2.11,87.7,35.8,46.0,44.8,473,4.5,11.9,34.7
3,1.61,70.4,35.7,46.6,28.9,805,4.1,14.4,34.8
2,1.64,67.6,29.2,15.1,9.8,454,6.7,2.1,31.8
0,1.12,72.6,14.0,4.7,1.1,300,13.0,4.0,23.6
0,0.97,58.0,14.6,13.8,8.9,582,11.3,5.1,29.1
3,2.31,61.7,44.7,38.5,30.8,436,6.4,26.7,34.7
0,1.01,65.3,25.5,12.7,9.9,295,11.7,2.5,21.4
2,1.75,54.0,37.9,17.1,4.7,543,7.4,18.2,29.2
2,1.52,69.7,25.5,13.5,4.0,668,11.8,10.5,29.9
0,1.01,43.3,24.2,28.6,23.0,392,16.0,3.9,25.1
0,0.86,44.4,15.6,10.9,4.2,289,10.2,8.9,23.2
2,1.21,71.1,29.5,39.0,23.0,404,15.6,11.6,23.3
2,1.37,88.2,25.0,70.9,66.2,512,6.4,14.4,30.1
3,2.16,92.4,25.0,29.0,7.4,718,6.8,17.9,35.0
2,1.17,75.9,29.5,9.3,2.7,697,5.1,10.7,31.3
2,2.07,67.6,22.8,46.2,33.4,446,5.4,0.7,31.5
3,2.08,99.9,37.7,33.8,20.2,599,7.1,18.5,35.7
3,2.01,68.2,40.3,20.8,4.3,681,5.4,20.0,37.3
0,1.14,68.0,25.5,37.2,32.0,211,12.3,1.8,21.9
0,0.89,47.4,11.3,32.3,26.1,266,17.5,9.8,24.9
2,1.25,59.6,23.6,15.6,11.5,463,5.6,6.4,33.2
2,1.48,81.3,33.8,21.9,11.9,625,13.9,8.1,25.1
0,1.02,62.5,18.4,16.0,8.7,235,10.4,3.7,27.6
0,0.98,50.9,21.3,25.3,17.8,346,11.5,3.2,26.8
3,1.73,95.7,32.9,28.0,6.1,802,8.9,20.7,37.5
0,1.12,77.3,24.1,33.3,27.1,501,10.3,2.5,26.7
2,1.77,79.8,25.8,48.2,35.5,441,8.8,11.1,23.9
2,1.56,85.9,19.8,60.2,48.1,286,7.1,9.0,26.2
0,0.99,74.7,25.6,10.7,2.7,271,10.2,4.3,26.9
2,1.09,77.5,28.2,21.9,14.6,642,5.8,6.5,37.4
0,0.99,61.6,20.3,21.1,12.9,577,10.7,7.5,26.7
0,0.94,74.7,22.9,4.6,1.0,388,10.4,4.1,19.6
0,1.0,66.2,13.4,9.7,6.3,299,13.3,4.6,27.0
2,1.26,68.4,25.6,30.4,24.4,599,5.4,7.7,33.8
0,0.94,55.9,18.6,23.2,18.5,365,10.5,2.7,24.7
0,0.95,76.4,20.9,25.5,20.8,506,10.1,2.8,21.7
0,0.65,77.2,24.4,11.2,6.5,573,11.4,5.4,24.6
0,0.99,45.3,13.1,15.0,9.4,224,11.0,0.4,26.5
2,1.65,53.8,18.8,19.6,6.9,457,9.6,5.7,22.1
2,1.7,65.8,27.5,22.2,10.9,524,6.1,11.9,28.4
3,1.97,78.3,25.8,24.6,4.6,540,5.9,21.2,32.6
3,1.82,65.2,30.3,19.4,15.9,771,8.2,28.2,31.9
0,0.85,75.3,23.3,2.9,0.7,325,17.0,7.3,25.4
2,1.43,70.8,23.5,36.1,23.7,450,7.6,8.4,23.3
0,0.88,78.1,13.0,11.5,6.2,585,15.8,5.3,26.1
1,2.03,81.3,46.5,15.4,3.9,705,3.1,20.9,32.2
0,0.89,62.5,20.2,5.1,0.1,201,10.2,4.6,32.0
0,0.91,77.6,26.6,15.2,12.1,410,10.3,4.5,31.2
0,1.04,72.0,14.6,46.2,40.4,270,14.8,4.5,22.6
0,0.78,45.0,14.3,25.9,21.2,492,12.1,5.3,17.5
1,2.34,104.3,34.4,3.4,0.7,844,3.3,5.9,47.1
2,1.66,73.0,21.7,21.4,16.4,386,6.0,9.5,23.7
0,0.98,60.8,12.8,14.3,10.3,208,10.6,1.7,23.5
3,1.9,85.9,21.3,88.8,67.6,616,4.5,22.3,39.7
1,1.95,64.8,41.0,21.8,2.5,779,2.6,17.3,47.3
3,2.28,83.2,45.1,39.1,19.3,496,9.9,21.0,34.0
0,0.98,63.8,16.7,9.4,2.9,593,10.7,0.4,22.9
3,1.86,66.6,39.2,36.5,15.2,497,4.2,14.5,38.4
0,0.85,64.9,11.7,27.9,16.7,562,10.9,5.6,28.8
2,1.68,76.4,19.9,28.2,20.3,430,6.6,11.2,35.0
2,1.69,73.5,30.4,11.4,3.8,618,8.8,2.5,31.4
0,0.83,43.7,25.0,17.5,10.8,515,10.2,1.5,17.4
0,1.05,60.7,22.8,17.3,9.2,421,10.2,6.3,25.5
0,1.01,59.6,11.6,12.0,5.6,582,12.4,7.6,25.5
3,1.92,84.9,29.2,51.8,33.8,559,7.6,15.9,39.8
2,1.46,71.5,28.7,18.8,10.2,443,5.4,11.4,35.0
0,0.98,72.3,16.5,52.1,40.7,338,10.1,6.3,27.7
2,1.3,74.7,21.1,14.7,2.6,449,5.5,1.6,23.2
0,0.72,49.1,25.3,13.8,11.2,448,12.5,6.8,22.1
0,1.03,59.7,23.2,18.3,10.2,238,10.7,0.9,19.6
0,1.06,63.0,16.0,27.1,25.6,471,11.6,5.1,29.7
0,1.02,79.9,14.6,8.1,3.0,347,11.4,9.1,26.3
2,1.33,56.4,26.8,60.5,52.6,428,11.9,7.7,27.1
3,2.32,88.6,36.1,33.7,13.2,706,4.4,13.1,29.0
2,1.77,87.5,27.0,10.6,2.8,538,5.0,8.3,28.2
3,1.45,60.0,38.9,58.9,46.3,418,7.2,19.7,41.0
2,1.65,48.9,29.2,27.7,18.1,304,5.6,5.4,34.3
2,1.52,87.5,23.1,5.4,1.1,343,8.3,8.7,32.3
0,1.05,79.7,27.5,7.7,3.5,285,11.3,5.4,27.3
2,1.23,62.2,29.4,26.5,18.8,536,8.0,4.7,22.9
0,0.97,68.9,17.2,14.7,9.3,373,10.8,3.5,22.3
0,1.04,60.1,22.0,11.2,1.8,478,15.1,2.3,21.1
2,1.6,77.3,17.3,18.6,6.3,454,8.4,13.3,32.2
0,1.15,59.8,25.9,11.3,5.2,205,17.2,7.5,24.5
0,1.27,77.8,19.5,9.3,3.3,343,13.3,6.3,25.8
0,0.84,70.4,25.4,16.8,11.7,486,10.9,0.4,21.3
2,1.37,69.0,17.8,21.3,8.1,635,5.6,8.0,30.8
0,1.0,59.3,23.4,4.2,0.4,219,11.3,4.3,20.4
2,1.19,78.1,26.5,60.5,57.8,578,8.9,11.6,29.9
0,0.92,48.2,18.7,7.4,1.0,305,10.7,6.8,19.5
0,1.09,41.5,21.5,8.7,4.7,210,10.3,1.8,29.5
0,1.08,43.9,12.3,4.9,0.4,471,12.7,4.8,25.2
0,1.07,70.5,12.5,5.9,0.2,240,11.9,6.9,24.9
0,1.02,65.5,24.0,4.7,1.2,534,10.6,3.7,28.9
0,0.95,71.2,17.1,10.4,5.1,208,10.4,3.8,21.9
0,1.17,47.3,22.5,9.0,1.8,433,11.2,5.0,22.6
2,1.59,51.3,36.2,16.0,0.5,694,5.3,11.6,35.2
3,1.86,70.8,35.1,48.9,30.1,671,4.0,10.2,35.9
0,0.99,62.7,22.3,8.5,4.5,555,10.3,0.3,24.2
2,1.41,80.0,22.7,89.9,86.1,647,6.1,10.5,31.5
2,1.42,57.4,25.3,5.1,0.7,441,5.3,16.0,35.0
2,2.01,57.1,37.4,46.4,37.2,528,5.3,24.5,18.8
0,0.91,42.5,25.9,14.9,9.9,310,10.6,3.9,24.0
1,2.31,89.6,41.5,46.8,20.9,594,5.0,14.2,43.5
0,1.15,75.0,13.4,15.5,10.3,285,13.3,4.5,21.7
0,0.99,77.1,22.6,24.3,20.0,487,12.2,5.2,17.6
0,0.93,49.5,20.1,5.5,0.3,237,11.0,3.5,30.9
3,1.72,59.2,41.5,81.9,61.7,503,7.1,21.6,33.9
0,0.98,56.1,21.7,10.2,4.2,266,14.3,8.7,25.1
0,1.06,54.8,15.4,9.1,2.3,325,11.8,5.7,23.5
2,1.83,61.7,19.2,15.6,0.1,529,5.3,8.0,30.0
3,2.41,48.9,29.4,36.0,14.9,697,3.9,27.4,32.0
2,1.37,68.0,34.5,47.8,41.8,652,5.9,9.3,33.8
2,1.31,46.3,30.1,31.1,12.4,484,8.0,19.2,31.0
2,1.89,76.3,23.7,7.9,3.2,388,8.2,3.8,33.4
3,1.86,102.4,26.6,41.3,26.6,394,5.4,15.7,32.9
2,1.51,53.4,36.4,13.7,5.7,671,8.4,9.1,31.0
